"","35290_2045.43035674398","35529_2056.7632807308","35530_2056.7632807308","35531_2056.7632807308","35611_2059.90111965301","35758_2065.00399875399","35787_2065.87303263965","35789_2065.87303263965","35891_2069.70677146791","35937_2072.09263267937","36026_2075.94899467376","36200_2083.01901696416","36217_2083.62841170485","36280_2086.1095824782","36439_2091.85071599794","36711_2101.70543396644","36728_2102.04923644611","36749_2103.18549432921","36771_2103.7232006158","36775_2103.7232006158","36777_2103.7232006158","36882_2107.24177621803","36979_2110.44817844374","37084_2114.73477455809","37157_2117.43061600396","37392_2126.20321831696","37393_2126.20321831696","37453_2128.82753321557","37516_2130.59507849564","37637_2136.3261276279","37892_2145.96208038664","37899_2146.17293943746","37970_2149.68619505974","37976_2149.84813983467","38176_2157.31813883107","38302_2162.21955182523","38303_2162.21955182523","38584_2173.277411568","38690_2177.19693200358","39043_2190.17771623257","39044_2190.17771623257","39295_2198.16290841124","39340_2199.24244598974","39343_2199.24244598974","39346_2199.24244598974","39653_2210.85637664459","39688_2212.81812190804","39852_2219.62724842252","39942_2223.39305481869","40019_2226.10570712281","40139_2229.8863385747","40208_2232.66125553425","40345_2236.69700594086","40347_2236.98807109603","40436_2240.84497640335","40531_2244.4832274051","40532_2244.4832274051","40780_2254.46224206859","41095_2266.45767172445","41096_2266.45767172445","41218_2269.90886208745","41222_2269.90886208745","41476_2279.10998056597","41498_2280.04160380687","41765_2289.53335444437","41771_2289.80081328725","41940_2297.50357621117","42103_2303.7112410955","42143_2304.9903829258","42162_2305.79891868687","42163_2305.79891868687","42455_2316.97176740124","42569_2320.24375654438","42570_2320.24375654438","42991_2336.10560945246","43058_2338.55483596806","43184_2342.93245632508","43191_2343.14976996448","43192_2343.14976996448","43193_2343.14976996448","43279_2346.1634623787","43280_2346.1634623787","43291_2346.78846027731","43555_2354.88403658012","43755_2361.69608255742","43889_2367.36686420819","43949_2368.66198259052","43951_2368.75089013618","43954_2368.75089013618","43994_2370.85336373828","43996_2370.85336373828","44106_2374.91279709141","44154_2376.33784496519","44228_2379.29951101605","44335_2383.47766728074","44421_2386.57905914261","44544_2390.48370015721","44546_2390.48370015721","44713_2396.79301540148","44810_2400.40056365174","44931_2404.55929688333","45131_2410.40712278005","45336_2417.03284824881","45338_2417.23587598812","45343_2417.23587598812","45507_2422.42501588809","45599_2425.09506708441","45604_2425.25238992723","45801_2431.06622732369","45815_2431.51846715188","45817_2431.51846715188","46037_2438.36063471563","46269_2444.76903027884","46364_2448.42950579759","46416_2449.51241740139","46520_2452.504781302","46607_2455.44101855233","46665_2456.73826328477","46670_2456.99141219886","46830_2463.05766682147","46831_2463.05766682147","47108_2471.63675522313","47111_2471.63675522313","47113_2471.63675522313","47226_2475.266893833","47272_2476.49086427515","47334_2478.68293751785","47488_2483.65083788571","47521_2484.98526624003","47522_2484.98526624003","47524_2484.98526624003","47605_2487.85348508782","47612_2488.11682046354","47644_2489.20119467866","47664_2490.38934106348","47671_2490.49549799586","47723_2492.28380199475","47724_2492.28380199475","47968_2501.01792219308","47994_2501.7550794017","48138_2507.51112716475","48363_2515.1632500332","48384_2516.49010830204","48451_2518.1194963611","48690_2526.53578372218","48711_2527.19561547456","48770_2528.3664485051","48810_2530.75673049293","48916_2534.09349845077","49001_2537.32417839124"
"39044_2190.17771623257",0.00125,0.000583333333333333,5e-04,5e-04,0.00125,0.000333333333333333,5e-04,0.000583333333333333,0.000416666666666667,0.00075,0.00175,0.000416666666666667,5e-04,0.000416666666666667,0.00183333333333333,5e-04,0.00183333333333333,5e-04,0.00025,0.00025,0.000166666666666667,0.00175,0.00116666666666667,0.00116666666666667,8.33333333333333e-05,0.000583333333333333,0.000583333333333333,0.00166666666666667,5e-04,0.00116666666666667,0.00175,0.00025,0.002,0.000416666666666667,0.00125,0.000416666666666667,0.000416666666666667,0.000583333333333333,5e-04,8.33333333333333e-05,0,0.00183333333333333,0.000833333333333333,0.00075,0.00075,0.00183333333333333,0.000833333333333333,0.000666666666666667,0.000666666666666667,0.00191666666666667,0.000166666666666667,0.00183333333333333,0.00175,0.00075,0.00183333333333333,0.00183333333333333,0.00183333333333333,8.33333333333333e-05,0.00191666666666667,0.002,0.00175,0.00175,0.00075,0.00183333333333333,5e-04,0.000666666666666667,0.00183333333333333,0.00183333333333333,0.000833333333333333,0.000666666666666667,0.000666666666666667,0.00075,0.00175,0.00175,0.00175,0.000833333333333333,0.00191666666666667,0.00175,0.00175,0.00175,0.00075,0.000666666666666667,0.00075,0.00183333333333333,0.002,0.00075,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00191666666666667,0.00191666666666667,0.002,0.002,0.00075,0.00075,0.00075,0.00075,0.00075,0.00191666666666667,0.000583333333333333,0.00183333333333333,0.000583333333333333,0.00075,0.00125,0.00125,0.000666666666666667,0.002,0.000833333333333333,0.00216666666666667,0.002,0.00191666666666667,0.00225,0.00133333333333333,0.00075,0.00125,0.000666666666666667,0.00183333333333333,0.00191666666666667,0.000833333333333333,0.000833333333333333,0.000833333333333333,0.00075,0.00075,0.000833333333333333,0.00125,0.00075,0.00183333333333333,0.00133333333333333,0.000666666666666667,0.000666666666666667,0.00075,0.00125,0.00125,0.000833333333333333,0.000833333333333333,0.000666666666666667,0.00208333333333333,0.00208333333333333,0.000583333333333333,0.000833333333333333,0.000666666666666667,0.00133333333333333,0.000666666666666667,0.000833333333333333,0.00191666666666667,0.000833333333333333,0.00141666666666667,0.00183333333333333,0.00141666666666667,0.000666666666666667
"39295_2198.16290841124",0.000916666666666667,0.00158333333333333,0.0015,0.0015,0.000916666666666667,0.0015,0.0015,0.00158333333333333,0.00158333333333333,0.00175,0.00025,0.00158333333333333,0.0015,0.00158333333333333,0.000333333333333333,0.0015,0.000333333333333333,0.00166666666666667,0.00175,0.00175,0.00166666666666667,0.00025,0.000833333333333333,0.000833333333333333,0.00175,0.00158333333333333,0.00158333333333333,5e-04,0.00166666666666667,0.000833333333333333,0.000583333333333333,0.00175,0.000166666666666667,0.00158333333333333,0.000916666666666667,0.00158333333333333,0.00158333333333333,0.00158333333333333,0.00166666666666667,0.00175,0.00183333333333333,0,0.00183333333333333,0.00175,0.00175,0,0.00183333333333333,0.00166666666666667,0.00183333333333333,8.33333333333333e-05,0.00183333333333333,0.000666666666666667,0.000583333333333333,0.00175,0,0,0,0.00175,8.33333333333333e-05,0.000166666666666667,0.000583333333333333,0.000583333333333333,0.00175,0.000333333333333333,0.00166666666666667,0.00166666666666667,0,0.000333333333333333,0.00183333333333333,0.00166666666666667,0.00166666666666667,0.00175,0.000583333333333333,0.000583333333333333,0.000583333333333333,0.00183333333333333,0.00075,0.000583333333333333,0.000583333333333333,0.000583333333333333,0.00175,0.00166666666666667,0.00175,0.000333333333333333,0.000833333333333333,0.00175,0.000666666666666667,0,0,8.33333333333333e-05,8.33333333333333e-05,0.000166666666666667,0.000833333333333333,0.00175,0.00175,0.00175,0.00175,0.00175,8.33333333333333e-05,0.00175,0,0.00175,0.00191666666666667,0.000916666666666667,0.000916666666666667,0.00183333333333333,0.000166666666666667,0.00183333333333333,0.001,0.000166666666666667,8.33333333333333e-05,0.00108333333333333,0.001,0.00175,0.000916666666666667,0.00183333333333333,0,0.00075,0.002,0.00183333333333333,0.00183333333333333,0.00175,0.00175,0.00183333333333333,0.000916666666666667,0.00175,0.000666666666666667,0.001,0.00183333333333333,0.00183333333333333,0.00191666666666667,0.000916666666666667,0.000916666666666667,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00025,0.00025,0.00175,0.00183333333333333,0.00183333333333333,0.001,0.00183333333333333,0.00183333333333333,8.33333333333333e-05,0.00183333333333333,0.00108333333333333,0,0.00108333333333333,0.00183333333333333
"39340_2199.24244598974",0.00125,0.000416666666666667,0.000333333333333333,0.000333333333333333,0.00125,5e-04,0.000333333333333333,0.00025,0.000583333333333333,8.33333333333333e-05,0.00175,0.000583333333333333,0.000333333333333333,0.000583333333333333,0.00183333333333333,0.000333333333333333,0.00183333333333333,0.000666666666666667,0.00075,0.00075,0.000666666666666667,0.00175,0.00116666666666667,0.00116666666666667,0.00075,0.000416666666666667,0.000416666666666667,0.00166666666666667,0.000666666666666667,0.00116666666666667,0.00175,0.00075,0.002,0.000583333333333333,0.00125,0.000583333333333333,0.000583333333333333,0.000416666666666667,0.000666666666666667,0.00075,0.000833333333333333,0.00183333333333333,0,8.33333333333333e-05,8.33333333333333e-05,0.00183333333333333,0.000166666666666667,0.000333333333333333,0.000833333333333333,0.00191666666666667,0.000833333333333333,0.00183333333333333,0.00175,8.33333333333333e-05,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00075,0.00191666666666667,0.002,0.00175,0.00175,8.33333333333333e-05,0.00183333333333333,0.000666666666666667,0.000333333333333333,0.00183333333333333,0.00183333333333333,5e-04,0.000333333333333333,0.000333333333333333,8.33333333333333e-05,0.00175,0.00175,0.00175,0.000166666666666667,0.00191666666666667,0.00175,0.00175,0.00175,0.000416666666666667,0.000333333333333333,8.33333333333333e-05,0.00183333333333333,0.002,8.33333333333333e-05,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00191666666666667,0.00191666666666667,0.002,0.002,8.33333333333333e-05,8.33333333333333e-05,0.000416666666666667,8.33333333333333e-05,8.33333333333333e-05,0.00191666666666667,0.00075,0.00183333333333333,0.00075,0.000916666666666667,0.00125,0.00125,0.000833333333333333,0.002,5e-04,0.00216666666666667,0.002,0.00191666666666667,0.00225,0.00133333333333333,8.33333333333333e-05,0.00125,0.000833333333333333,0.00183333333333333,0.00191666666666667,0.001,5e-04,5e-04,8.33333333333333e-05,8.33333333333333e-05,0.000166666666666667,0.00125,0.000416666666666667,0.00183333333333333,0.00133333333333333,0.000833333333333333,0.000833333333333333,0.000916666666666667,0.00125,0.00125,0.000166666666666667,5e-04,0.000833333333333333,0.00208333333333333,0.00208333333333333,0.00075,0.001,0.000833333333333333,0.00133333333333333,0.000833333333333333,5e-04,0.00191666666666667,5e-04,0.00141666666666667,0.00183333333333333,0.00141666666666667,0.000833333333333333
"39343_2199.24244598974",0.00116666666666667,0.000333333333333333,0.00025,0.00025,0.00116666666666667,0.000416666666666667,0.00025,0.000166666666666667,5e-04,0,0.00166666666666667,5e-04,0.00025,5e-04,0.00175,0.00025,0.00175,0.000583333333333333,0.000666666666666667,0.000666666666666667,0.000583333333333333,0.00166666666666667,0.00108333333333333,0.00108333333333333,0.000666666666666667,0.000333333333333333,0.000333333333333333,0.00158333333333333,0.000583333333333333,0.00108333333333333,0.00166666666666667,0.000666666666666667,0.00191666666666667,5e-04,0.00116666666666667,5e-04,5e-04,0.000333333333333333,0.000583333333333333,0.000666666666666667,0.00075,0.00175,8.33333333333333e-05,0,0,0.00175,8.33333333333333e-05,0.00025,0.00075,0.00183333333333333,0.00075,0.00175,0.00166666666666667,0,0.00175,0.00175,0.00175,0.000666666666666667,0.00183333333333333,0.00191666666666667,0.00166666666666667,0.00166666666666667,0,0.00175,0.000583333333333333,0.00025,0.00175,0.00175,0.000416666666666667,0.00025,0.00025,0,0.00166666666666667,0.00166666666666667,0.00166666666666667,8.33333333333333e-05,0.00183333333333333,0.00166666666666667,0.00166666666666667,0.00166666666666667,0.000333333333333333,0.00025,0,0.00175,0.00191666666666667,0,0.00175,0.00175,0.00175,0.00183333333333333,0.00183333333333333,0.00191666666666667,0.00191666666666667,0,0,0.000333333333333333,0,0,0.00183333333333333,0.000666666666666667,0.00175,0.000666666666666667,0.000833333333333333,0.00116666666666667,0.00116666666666667,0.00075,0.00191666666666667,0.000416666666666667,0.00208333333333333,0.00191666666666667,0.00183333333333333,0.00216666666666667,0.00125,0,0.00116666666666667,0.00075,0.00175,0.00183333333333333,0.000916666666666667,0.000416666666666667,0.000416666666666667,0,0,8.33333333333333e-05,0.00116666666666667,0.000333333333333333,0.00175,0.00125,0.00075,0.00075,0.000833333333333333,0.00116666666666667,0.00116666666666667,8.33333333333333e-05,0.000416666666666667,0.00075,0.002,0.002,0.000666666666666667,0.000916666666666667,0.00075,0.00125,0.00075,0.000416666666666667,0.00183333333333333,0.000416666666666667,0.00133333333333333,0.00175,0.00133333333333333,0.00075
"39346_2199.24244598974",0.00116666666666667,0.000333333333333333,0.00025,0.00025,0.00116666666666667,0.000416666666666667,0.00025,0.000166666666666667,5e-04,0,0.00166666666666667,5e-04,0.00025,5e-04,0.00175,0.00025,0.00175,0.000583333333333333,0.000666666666666667,0.000666666666666667,0.000583333333333333,0.00166666666666667,0.00108333333333333,0.00108333333333333,0.000666666666666667,0.000333333333333333,0.000333333333333333,0.00158333333333333,0.000583333333333333,0.00108333333333333,0.00166666666666667,0.000666666666666667,0.00191666666666667,5e-04,0.00116666666666667,5e-04,5e-04,0.000333333333333333,0.000583333333333333,0.000666666666666667,0.00075,0.00175,8.33333333333333e-05,0,0,0.00175,8.33333333333333e-05,0.00025,0.00075,0.00183333333333333,0.00075,0.00175,0.00166666666666667,0,0.00175,0.00175,0.00175,0.000666666666666667,0.00183333333333333,0.00191666666666667,0.00166666666666667,0.00166666666666667,0,0.00175,0.000583333333333333,0.00025,0.00175,0.00175,0.000416666666666667,0.00025,0.00025,0,0.00166666666666667,0.00166666666666667,0.00166666666666667,8.33333333333333e-05,0.00183333333333333,0.00166666666666667,0.00166666666666667,0.00166666666666667,0.000333333333333333,0.00025,0,0.00175,0.00191666666666667,0,0.00175,0.00175,0.00175,0.00183333333333333,0.00183333333333333,0.00191666666666667,0.00191666666666667,0,0,0.000333333333333333,0,0,0.00183333333333333,0.000666666666666667,0.00175,0.000666666666666667,0.000833333333333333,0.00116666666666667,0.00116666666666667,0.00075,0.00191666666666667,0.000416666666666667,0.00208333333333333,0.00191666666666667,0.00183333333333333,0.00216666666666667,0.00125,0,0.00116666666666667,0.00075,0.00175,0.00183333333333333,0.000916666666666667,0.000416666666666667,0.000416666666666667,0,0,8.33333333333333e-05,0.00116666666666667,0.000333333333333333,0.00175,0.00125,0.00075,0.00075,0.000833333333333333,0.00116666666666667,0.00116666666666667,8.33333333333333e-05,0.000416666666666667,0.00075,0.002,0.002,0.000666666666666667,0.000916666666666667,0.00075,0.00125,0.00075,0.000416666666666667,0.00183333333333333,0.000416666666666667,0.00133333333333333,0.00175,0.00133333333333333,0.00075
"39653_2210.85637664459",0.000916666666666667,0.00158333333333333,0.0015,0.0015,0.000916666666666667,0.0015,0.0015,0.00158333333333333,0.00158333333333333,0.00175,0.00025,0.00158333333333333,0.0015,0.00158333333333333,0.000333333333333333,0.0015,0.000333333333333333,0.00166666666666667,0.00175,0.00175,0.00166666666666667,0.00025,0.000833333333333333,0.000833333333333333,0.00175,0.00158333333333333,0.00158333333333333,5e-04,0.00166666666666667,0.000833333333333333,0.000583333333333333,0.00175,0.000166666666666667,0.00158333333333333,0.000916666666666667,0.00158333333333333,0.00158333333333333,0.00158333333333333,0.00166666666666667,0.00175,0.00183333333333333,0,0.00183333333333333,0.00175,0.00175,0,0.00183333333333333,0.00166666666666667,0.00183333333333333,8.33333333333333e-05,0.00183333333333333,0.000666666666666667,0.000583333333333333,0.00175,0,0,0,0.00175,8.33333333333333e-05,0.000166666666666667,0.000583333333333333,0.000583333333333333,0.00175,0.000333333333333333,0.00166666666666667,0.00166666666666667,0,0.000333333333333333,0.00183333333333333,0.00166666666666667,0.00166666666666667,0.00175,0.000583333333333333,0.000583333333333333,0.000583333333333333,0.00183333333333333,0.00075,0.000583333333333333,0.000583333333333333,0.000583333333333333,0.00175,0.00166666666666667,0.00175,0.000333333333333333,0.000833333333333333,0.00175,0.000666666666666667,0,0,8.33333333333333e-05,8.33333333333333e-05,0.000166666666666667,0.000833333333333333,0.00175,0.00175,0.00175,0.00175,0.00175,8.33333333333333e-05,0.00175,0,0.00175,0.00191666666666667,0.000916666666666667,0.000916666666666667,0.00183333333333333,0.000166666666666667,0.00183333333333333,0.001,0.000166666666666667,8.33333333333333e-05,0.00108333333333333,0.001,0.00175,0.000916666666666667,0.00183333333333333,0,0.00075,0.002,0.00183333333333333,0.00183333333333333,0.00175,0.00175,0.00183333333333333,0.000916666666666667,0.00175,0.000666666666666667,0.001,0.00183333333333333,0.00183333333333333,0.00191666666666667,0.000916666666666667,0.000916666666666667,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00025,0.00025,0.00175,0.00183333333333333,0.00183333333333333,0.001,0.00183333333333333,0.00183333333333333,8.33333333333333e-05,0.00183333333333333,0.00108333333333333,0,0.00108333333333333,0.00183333333333333
"39688_2212.81812190804",0.00125,0.000416666666666667,0.000333333333333333,0.000333333333333333,0.00125,5e-04,0.000333333333333333,0.00025,0.000583333333333333,8.33333333333333e-05,0.00175,0.000583333333333333,0.000333333333333333,0.000583333333333333,0.00183333333333333,0.000333333333333333,0.00183333333333333,0.000666666666666667,0.00075,0.00075,0.000666666666666667,0.00175,0.00116666666666667,0.00116666666666667,0.00075,0.000416666666666667,0.000416666666666667,0.00166666666666667,0.000666666666666667,0.00116666666666667,0.00175,0.00075,0.002,0.000583333333333333,0.00125,0.000583333333333333,0.000583333333333333,0.000416666666666667,0.000666666666666667,0.00075,0.000833333333333333,0.00183333333333333,0.000166666666666667,8.33333333333333e-05,8.33333333333333e-05,0.00183333333333333,0,0.000333333333333333,0.000833333333333333,0.00191666666666667,0.000833333333333333,0.00183333333333333,0.00175,8.33333333333333e-05,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00075,0.00191666666666667,0.002,0.00175,0.00175,8.33333333333333e-05,0.00183333333333333,0.000666666666666667,0.000333333333333333,0.00183333333333333,0.00183333333333333,5e-04,0.000333333333333333,0.000333333333333333,8.33333333333333e-05,0.00175,0.00175,0.00175,0.000166666666666667,0.00191666666666667,0.00175,0.00175,0.00175,0.000416666666666667,0.000333333333333333,8.33333333333333e-05,0.00183333333333333,0.002,8.33333333333333e-05,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00191666666666667,0.00191666666666667,0.002,0.002,8.33333333333333e-05,8.33333333333333e-05,0.000416666666666667,8.33333333333333e-05,8.33333333333333e-05,0.00191666666666667,0.00075,0.00183333333333333,0.00075,0.000916666666666667,0.00125,0.00125,0.000833333333333333,0.002,5e-04,0.00216666666666667,0.002,0.00191666666666667,0.00225,0.00133333333333333,8.33333333333333e-05,0.00125,0.000833333333333333,0.00183333333333333,0.00191666666666667,0.001,5e-04,5e-04,8.33333333333333e-05,8.33333333333333e-05,0.000166666666666667,0.00125,0.000416666666666667,0.00183333333333333,0.00133333333333333,0.000833333333333333,0.000833333333333333,0.000916666666666667,0.00125,0.00125,0.000166666666666667,5e-04,0.000833333333333333,0.00208333333333333,0.00208333333333333,0.00075,0.001,0.000833333333333333,0.00133333333333333,0.000833333333333333,5e-04,0.00191666666666667,5e-04,0.00141666666666667,0.00183333333333333,0.00141666666666667,0.000833333333333333
"39852_2219.62724842252",0.00108333333333333,0.00025,0.000166666666666667,0.000166666666666667,0.00108333333333333,0.000333333333333333,0.000166666666666667,8.33333333333333e-05,0.000416666666666667,0.00025,0.00158333333333333,0.000416666666666667,0.000166666666666667,0.000416666666666667,0.00166666666666667,0.000166666666666667,0.00166666666666667,5e-04,0.000583333333333333,0.000583333333333333,5e-04,0.00158333333333333,0.001,0.001,0.000583333333333333,0.00025,0.00025,0.0015,5e-04,0.001,0.00158333333333333,0.000583333333333333,0.00183333333333333,0.000416666666666667,0.00108333333333333,0.000416666666666667,0.000416666666666667,0.00025,5e-04,0.000583333333333333,0.000666666666666667,0.00166666666666667,0.000333333333333333,0.00025,0.00025,0.00166666666666667,0.000333333333333333,0,0.000666666666666667,0.00175,0.000666666666666667,0.00166666666666667,0.00158333333333333,0.00025,0.00166666666666667,0.00166666666666667,0.00166666666666667,0.000583333333333333,0.00175,0.00183333333333333,0.00158333333333333,0.00158333333333333,0.00025,0.00166666666666667,5e-04,0,0.00166666666666667,0.00166666666666667,0.000166666666666667,0,0,0.00025,0.00158333333333333,0.00158333333333333,0.00158333333333333,0.000333333333333333,0.00175,0.00158333333333333,0.00158333333333333,0.00158333333333333,8.33333333333333e-05,0,0.00025,0.00166666666666667,0.00183333333333333,0.00025,0.00166666666666667,0.00166666666666667,0.00166666666666667,0.00175,0.00175,0.00183333333333333,0.00183333333333333,0.00025,0.00025,8.33333333333333e-05,0.00025,0.00025,0.00175,0.000583333333333333,0.00166666666666667,0.000583333333333333,0.00075,0.00108333333333333,0.00108333333333333,0.000666666666666667,0.00183333333333333,0.000166666666666667,0.002,0.00183333333333333,0.00175,0.00208333333333333,0.00116666666666667,0.00025,0.00108333333333333,0.000666666666666667,0.00166666666666667,0.00175,0.000833333333333333,0.000166666666666667,0.000166666666666667,0.00025,0.00025,0.000333333333333333,0.00108333333333333,8.33333333333333e-05,0.00166666666666667,0.00116666666666667,0.000666666666666667,0.000666666666666667,0.00075,0.00108333333333333,0.00108333333333333,0.000333333333333333,0.000166666666666667,0.000666666666666667,0.00191666666666667,0.00191666666666667,0.000583333333333333,0.000833333333333333,0.000666666666666667,0.00116666666666667,0.000666666666666667,0.000166666666666667,0.00175,0.000166666666666667,0.00125,0.00166666666666667,0.00125,0.000666666666666667
"39942_2223.39305481869",0.00125,0.000583333333333333,5e-04,5e-04,0.00125,0.000333333333333333,5e-04,0.000583333333333333,0.00025,0.00075,0.00175,0.000416666666666667,5e-04,0.000416666666666667,0.00183333333333333,5e-04,0.00183333333333333,5e-04,0.000583333333333333,0.000583333333333333,5e-04,0.00175,0.00116666666666667,0.00116666666666667,0.000583333333333333,0.000583333333333333,0.000583333333333333,0.00166666666666667,0.000333333333333333,0.00116666666666667,0.00175,0.000583333333333333,0.002,0.00025,0.00125,0.00025,0.00025,0.000583333333333333,0.000166666666666667,0.000583333333333333,0.000666666666666667,0.00183333333333333,0.000833333333333333,0.00075,0.00075,0.00183333333333333,0.000833333333333333,0.000666666666666667,0,0.00191666666666667,0.000666666666666667,0.00183333333333333,0.00175,0.00075,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.000583333333333333,0.00191666666666667,0.002,0.00175,0.00175,0.00075,0.00183333333333333,0.000333333333333333,0.000666666666666667,0.00183333333333333,0.00183333333333333,0.000833333333333333,0.000666666666666667,0.000666666666666667,0.00075,0.00175,0.00175,0.00175,0.000833333333333333,0.00191666666666667,0.00175,0.00175,0.00175,0.00075,0.000666666666666667,0.00075,0.00183333333333333,0.002,0.00075,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00191666666666667,0.00191666666666667,0.002,0.002,0.00075,0.00075,0.00075,0.00075,0.00075,0.00191666666666667,0.000416666666666667,0.00183333333333333,0.000416666666666667,0.000583333333333333,0.00125,0.00125,5e-04,0.002,0.000833333333333333,0.00216666666666667,0.002,0.00191666666666667,0.00225,0.00133333333333333,0.00075,0.00125,5e-04,0.00183333333333333,0.00191666666666667,0.000666666666666667,0.000833333333333333,0.000833333333333333,0.00075,0.00075,0.000833333333333333,0.00125,0.00075,0.00183333333333333,0.00133333333333333,5e-04,5e-04,0.000583333333333333,0.00125,0.00125,0.000833333333333333,0.000833333333333333,5e-04,0.00208333333333333,0.00208333333333333,0.000416666666666667,0.000666666666666667,5e-04,0.00133333333333333,5e-04,0.000833333333333333,0.00191666666666667,0.000833333333333333,0.00141666666666667,0.00183333333333333,0.00141666666666667,5e-04
"40019_2226.10570712281",0.001,0.00166666666666667,0.00158333333333333,0.00158333333333333,0.001,0.00158333333333333,0.00158333333333333,0.00166666666666667,0.00166666666666667,0.00183333333333333,0.000333333333333333,0.00166666666666667,0.00158333333333333,0.00166666666666667,0.000416666666666667,0.00158333333333333,0.000416666666666667,0.00175,0.00183333333333333,0.00183333333333333,0.00175,0.000333333333333333,0.000916666666666667,0.000916666666666667,0.00183333333333333,0.00166666666666667,0.00166666666666667,0.000583333333333333,0.00175,0.000916666666666667,0.000666666666666667,0.00183333333333333,8.33333333333333e-05,0.00166666666666667,0.001,0.00166666666666667,0.00166666666666667,0.00166666666666667,0.00175,0.00183333333333333,0.00191666666666667,8.33333333333333e-05,0.00191666666666667,0.00183333333333333,0.00183333333333333,8.33333333333333e-05,0.00191666666666667,0.00175,0.00191666666666667,0,0.00191666666666667,0.00075,0.000666666666666667,0.00183333333333333,8.33333333333333e-05,8.33333333333333e-05,8.33333333333333e-05,0.00183333333333333,0.000166666666666667,0.00025,0.000666666666666667,0.000666666666666667,0.00183333333333333,0.000416666666666667,0.00175,0.00175,8.33333333333333e-05,0.000416666666666667,0.00191666666666667,0.00175,0.00175,0.00183333333333333,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.00191666666666667,0.000833333333333333,0.000666666666666667,0.000666666666666667,0.000666666666666667,0.00183333333333333,0.00175,0.00183333333333333,0.000416666666666667,0.000916666666666667,0.00183333333333333,0.00075,8.33333333333333e-05,8.33333333333333e-05,0.000166666666666667,0.000166666666666667,0.00025,0.000916666666666667,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.00183333333333333,0.000166666666666667,0.00183333333333333,8.33333333333333e-05,0.00183333333333333,0.002,0.001,0.001,0.00191666666666667,0.00025,0.00191666666666667,0.00108333333333333,0.00025,0.000166666666666667,0.00116666666666667,0.00108333333333333,0.00183333333333333,0.001,0.00191666666666667,8.33333333333333e-05,0.000833333333333333,0.00208333333333333,0.00191666666666667,0.00191666666666667,0.00183333333333333,0.00183333333333333,0.00191666666666667,0.001,0.00183333333333333,0.00075,0.00108333333333333,0.00191666666666667,0.00191666666666667,0.002,0.001,0.001,0.00191666666666667,0.00191666666666667,0.00191666666666667,0.000333333333333333,0.000333333333333333,0.00183333333333333,0.00191666666666667,0.00191666666666667,0.00108333333333333,0.00191666666666667,0.00191666666666667,0.000166666666666667,0.00191666666666667,0.00116666666666667,8.33333333333333e-05,0.00116666666666667,0.00191666666666667
